,sentiments,labels
2514,“[President Duterte] is afraid of being prosecuted by the [International Criminal Court] for his crimes: murder of thousands of so-called drug addicts.” - Bishop Arturo Bastes.  #LiCASnews #LightfortheVoiceless #Philippines #Election #DU30 @IntlCrimCourt   https://t.co/JqgObuXge2,Negative
2517,DI LANG DRAMA!  Malacañang denied that the issue between President Rodrigo Duterte and Davao City Mayor Sara Duterte-Carpio was just a “zarzuela.”   https://t.co/Ki84AnMtA1  https://t.co/qtjS9mosgA,Negative
2518,"Despite this, President Duterte's P5.024 trillion spending plan for 2022 is boasted to be the nation's ""highest budget in history"".   The National Task Force to End Local Communist Armed Conflict is also set to receive P28.1 billion — almost twice what it received this year.",Negative
2524,"“The crime volume significantly decreased under President Duterte’s administration, and this is one of his legacies.”  SECRETARY MARTIN ANDANAR Presidential Communications Operations Office  https://t.co/UooKwFgB4f",Negative
2539,"@jonvicremulla Why not ask the help of your brother who fulfilled the desire of his president, revengeful Duterte, to deny ABSCBN of a new franchise?",Negative
2543,@miriamgracego @lianbuan @reyaika @RalfRivas Business reporter @RalfRivas estimates that President Duterte will step down from office with a debt of P13 trillion.  WATCH:  https://t.co/GbSUfE24BR,Negative
2545,@miriamgracego @lianbuan @reyaika @RalfRivas RELATED STORY: The COA restates its mandate after President Duterte questioned its findings on the DOH's deficient use of pandemic funds.  https://t.co/t5kyCwPOe5,Negative
2554,President Rodrigo Duterte has defended anew his bloody drug war as claimed that he might be foolish but he knew his limits.  https://t.co/vRHJynATKP,Negative
2555,"LOOK: According to President Rodrigo Roa Duterte, the country's fight against the invisible enemy that is the COVID-19 virus is not easy and it will be a long journey for the Philippines in winning the fight against it.   #workingPCOO  #WeRiseAsOne  #COVID19PH  https://t.co/hyauP9YN1r",Negative
2556,"Duterte can't even solve this, yet he has the audacity to run again? What can he do as VP that could not even manage to do while president?",Negative
2564,@inquirerdotnet @DYGalvezINQ 'Delicadeza' also dictates that citizenry should follow the spirit of the law and law says a President can also serve one term (all because of Marcos). GMA &amp;  Duterte are making a mockery of the law.,Negative
2565,Former Interior and Local Government Secretary Mar Roxas has challenged President Duterte to file a corruption case against him.  Watch here:  https://t.co/O0rpSJXrnu  https://t.co/akqDu5eKmu,Negative
2567,Philippine President Rodrigo Duterte has confirmed rumblings he will run for vice president in what critics say is an attempted end-run around the constitution.  https://t.co/31HkubWMdR,Negative
2568,"President Rodrigo Duterte's vice presidential bid in the 2022 elections will not protect him from lawsuits, a legal expert says.  https://t.co/A36khHcioX",Negative
2571,"Kayong mga nag uudyok kay Leni Robredo na tumakbo sa 2022 go ahead pero huwag na huwag niyong gagamitin ang salitang change. Ilang dekada na ba nakaupo sa sentro ng kapangyarihan ang mga LP may nagawa ba sila para sugpuin ang droga, kurapsyon, kriminalidad at iba. Tapos hihirit p",Negative
2578,President Duterte’s motivation for running for vice president next year is his “unfinished business” with the problems of illegal drugs and corruption.  READ:  https://t.co/wFvJZNAg9g  https://t.co/fyMF77Jm8G,Negative
2579,"If the constitution forbids a president another term, he is likewise forbidden from running as a VP because of the likelihood that the VP may ascend to the presidency in case of incapacity, death or resignation of the president. It’s unconstitutional for Duterte to run for VP.",Negative
2581,@PhilippineStar So kaya Mrs BANG GO DUTERTE ANG PRESIDENT PARA MAG RESIGN SI MRS SI MR NA NAMAN ANG PRESIDENTE para sila ang MARCOS AND EMILDA NG HINIRASYON SI BANG GO SI IMELDA AT SI DIGONG SI MARCOS kasi kung ano sasabihin ni BANG GO sunud si marcos,Negative
2582,"WATCH: Presidential Spokesperson Harry Roque says Thursday, August 26, the pandemic task force is going to ask President Duterte to allow face-to-face classes in areas where there are low COVID-19 infection rates. Full story:  https://t.co/QgyXlEjJmw  https://t.co/KK5hoL7Kpt",Negative
2586,"Can President Duterte (@RRD_Davao) stop the publication of audit reports from #COA, a constitutional body independent from the Office of the President? The answer is NO.  Read this #VERAfied fact sheet to know more about the agency's mandate:  https://t.co/utMHEZed2s",Negative
2603,i think the most iconic thing that’s ever happened to me is when i posted under the recast kate bishop tag and some simp DMed me on ig as to why i’m wrong or whatever,Negative
2607,The “conditional” decision of President Duterte to run for vice president in the May 2022 polls has left the faction of PDP-Laban led by DOE Secretary Alfonso Cusi uncertain on its choice on who will be its standard bearer.   https://t.co/W7VXqMnztk,Negative
2608,"DAVAO City Mayor Sara Duterte-Carpio said she bears no grudge against Sen. Christopher Lawrence ""Bong"" Go following reports of conflict between her and President Rodrigo Duterte's former special assistant.   https://t.co/LNAJFPBClh",Negative
2617,Will President Rodrigo Duterte drop his vice presidential bid should Rep. Martin Romualdez run next year?  https://t.co/etbyxVvjJo,Negative
2619,"President Rodrigo Duterte will not run for vice president in 2022 if House Majority Leader and Leyte 1st District Rep. Martin Romualdez does, Malacañang sad Thursday.  https://t.co/TElpddNDgV #PolitikoNews @RRD_Davao  @MartinRomualdez  @attyharryroque  @pr1ncegolez",Negative
2621,"“The crime volume significantly decreased under President Duterte’s administration, and this is one of his legacies.”  SECRETARY MARTIN ANDANAR Presidential Communications Operations Office  https://t.co/Aj6zuXaC3G",Negative
2622,"President Rodrigo Duterte has accused former Interior Secretary Mar Roxas and former Justice secretary and now Sen. Leila de Lima of stealing public funds, citing CoA's previous findings that flagged millions to billions of supposedly unliquidated funds.    https://t.co/yFHKNLtrBP",Negative
2623,Critics say Philippine President Rodrigo Duterte seeks the vice presidency in order to stay on and shield himself from possible lawsuits. Experts are divided over his legal immunity. #Duterte #Philippines   https://t.co/68mDyajQB2,Negative
2625,Malacañang on Thursday denied that the issue between President Rodrigo Duterte and Davao City Mayor Sara Duterte-Carpio was just a “zarzuela.”  https://t.co/3DQUP824LL #PolitikoNews @RRD_Davao  @indaysara  @attyharryroque  @pr1ncegolez,Negative
2633,@societyofhonor Mr. Duterte as vice president will also face an impeachment case for his failure to reveal his SALN during his presidency as prescribed by law.,Negative
2638,"""Why would I be furious about the need for an appointment to see the President? What matters is I see the President. Mababaw itong source na ito.""  - Mayor Sara Duterte   https://t.co/I5k6YShYAg",Negative
2642,"@alexisbromero Roque on editing of Duterte's public address: Wala po akong posisyon diyan... Ang importante lang po, I can give confirmation... My rule is unless it comes from the President's mouth, I cannot attribute it to the President. | @alexisbromero",Negative
2643,"Roque says he has no position on the editing of Duterte's public addresses and what's important is that he gives confirmation.  ""My rule is unless it comes from the President's mouth, I cannot attribute it to the President."" | via @alexisbromero   Watch:  https://t.co/BB9Pw2A6Qq",Negative
2647,"Roque on editing of Duterte's public address: Wala po akong posisyon diyan... Ang importante lang po, I can give confirmation... My rule is unless it comes from the President's mouth, I cannot attribute it to the President @PhilippineStar @PhilstarNews",Negative
2650,Sa amin sa bisaya kapag sinabi mong LIBOG ibig sabihin niyan NAGUGULUHAN o NALILITO. Pero kapag isinalin mo yan sa salitang Tagalog bastos ang dating. Kaya kapag may kausap kang galing bisaya at kapag ganyan ang sinabi sa sinabi mo hindi po siya nalilibugan kung naguguluhan.,Negative
2654,Mga kababayan kung biyahero mula Cavite at Laguna bukas na po ang CALAX para makaiwas sa sikip ng trapiko sa main road natin dito na kayo dumaan.,Negative
2657,"Roque on issues between President Duterte, Sara: Let’s let the father and daughter resolve the issue... Hindi ko po alam kung merong bangayan pero that’s a family matter. @TheManilaTimes",Negative
2659,"Roque denies claims that the issue involving President Duterte and Mayor Sara is just a ""zarzuela."" | via @alexisbromero   Watch:  https://t.co/BB9Pw2A6Qq",Negative
2660,"@alexisbromero Roque denies claims that the issue involving President Duterte and Mayor Sara is just a ""zarzuela"". | @alexisbromero   LIVE:  https://t.co/Wdhl1VKfhF",Negative
2663,"Roque denies claims that the issue involving President Duterte and Mayor Sara is just a ""zarzuela"" @PhilippineStar @PhilstarNews",Negative
2677,Roque on President Duterte's 2022 VP bid: Hindi po natin puedeng limitahan ang karapatan ng Presidente ng tumakbo. Karapatan po iyan ng lahat ng Pilipino @gmanews,Negative
2678,@piaranada Roque denies this public exchange between President Duterte and Mayor Duterte is just a 'zarzuela.' | via @piaranada  WATCH:  https://t.co/Nwb3oNdwKw,Negative
2680,"Roque on issues between President Duterte, Sara: Let’s let the father and daughter resolve the issue... Hindi ko po alam kung merong bangayan pero that’s a family matter. @RuthAbbey",Negative
2681,Roque denies this public exchange between President Duterte and Mayor Duterte is just a 'zarzuela.',Negative
2685,"In the Philippines, the president is limited to one six-year term and Duterte’s term is due to end by June next year. His vice-presidential run is seen by political observers as a backdoor to the presidency.",Negative
2687,Roque says IATF will present a proposal before President Duterte showing benefits of holding limited face-to-face classes in areas with low COVID-19 cases outweighs risk @gmanews,Negative
2698,"@KAguilarINQ Roque says Duterte to run for vice president because of “unfinished business” in addressing corruption, illegal drugs. | @KAguilarINQ",Negative
2703,"If Bong Go is hesitant to run for President in tandem with Duterte, why not a Pacquiao- Duterte tandem, if Pacquiao agrees to have Duterte to call the shots?",Negative
2707,"@piaranada National pandemic task force preparing presentation to President Duterte to show how advantages of holding limited face-to-face classes in low-risk areas outweigh disadvantages, says Roque. | via @piaranada  WATCH:  https://t.co/Nwb3oNdwKw",Negative
2709,"@pnagovph Roque on issues between President Duterte, Sara: Let’s let the father and daughter resolve the issue... Hindi ko po alam kung merong bangayan pero that’s a family matter.",Negative
